wavelength, MY27:ORB0518_3, MY28:ORB3198_5
3.814320087432861328e+00 1.828820854425430298e-01 1.570436656475067139e-01
3.835180044174194336e+00 1.795544773340225220e-01 nan
3.855679988861083984e+00 1.817899346351623535e-01 1.651420146226882935e-01
3.876270055770874023e+00 1.777661591768264771e-01 1.699185073375701904e-01
3.896509885787963867e+00 1.779337823390960693e-01 1.738182455301284790e-01
3.916409969329833984e+00 1.748447716236114502e-01 1.718450635671615601e-01
3.937119960784912109e+00 1.680398583412170410e-01 1.762221604585647583e-01
3.957479953765869141e+00 1.608967036008834839e-01 1.742856651544570923e-01
3.977619886398315430e+00 1.560219824314117432e-01 1.732182949781417847e-01
3.998260021209716797e+00 1.526076197624206543e-01 1.745716482400894165e-01
4.017940044403076172e+00 1.467730104923248291e-01 1.679998785257339478e-01
4.038360118865966797e+00 1.472531408071517944e-01 1.829914152622222900e-01
4.058619976043701172e+00 1.382251232862472534e-01 1.856681555509567261e-01
4.078619956970214844e+00 1.265186518430709839e-01 1.875693351030349731e-01
4.098760128021240234e+00 1.091019585728645325e-01 1.837150305509567261e-01
4.118619918823242188e+00 7.882881164550781250e-02 1.786518543958663940e-01
4.138659954071044922e+00 5.008551105856895447e-02 1.589816361665725708e-01
4.159180164337158203e+00 2.085069566965103149e-02 1.288914680480957031e-01
4.179729938507080078e+00 1.170142088085412979e-02 8.226399868726730347e-02
4.199930191040039062e+00 5.930619779974222183e-03 2.079328894615173340e-02
4.219900131225585938e+00 5.627135280519723892e-03 2.343233209103345871e-03
4.240670204162597656e+00 8.933590725064277649e-03 1.172465970739722252e-03
4.260499954223632812e+00 1.170704234391450882e-02 5.290661007165908813e-03
4.280109882354736328e+00 1.364161539822816849e-02 1.408524252474308014e-02
4.300310134887695312e+00 1.587347127497196198e-02 9.955902583897113800e-03
4.319900035858154297e+00 1.115771662443876266e-02 1.341586094349622726e-02
4.339890003204345703e+00 1.654097810387611389e-02 1.435330696403980255e-02
4.359459877014160156e+00 1.519726682454347610e-02 1.134207379072904587e-02
4.379340171813964844e+00 1.740230061113834381e-02 1.344341505318880081e-02
4.399290084838867188e+00 1.782796718180179596e-02 1.127644628286361694e-02
4.418039798736572266e+00 2.038051187992095947e-02 1.365306228399276733e-02
4.436880111694335938e+00 3.666568547487258911e-02 2.727631106972694397e-02
4.456329822540283203e+00 nan nan
4.481639862060546875e+00 9.714379906654357910e-02 1.524195075035095215e-01
4.499780178070068359e+00 1.279206275939941406e-01 2.764817774295806885e-01
4.517489910125732422e+00 1.100100502371788025e-01 2.723637819290161133e-01
4.535510063171386719e+00 1.052335798740386963e-01 2.865034937858581543e-01
4.555359840393066406e+00 1.041500717401504517e-01 2.949422895908355713e-01
