Longitude[deg], Latitude[deg], Radiance
24.741199 7.659000 0.029853
24.750500 7.658600 0.035022
24.758600 7.658200 0.050530
24.767899 7.657900 0.055700
24.775999 7.657500 0.029853
24.784100 7.657100 0.035022
24.793400 7.656800 0.045361
24.801500 7.656400 0.040192
24.809599 7.656000 0.040192
24.818899 7.655700 0.029853
24.827000 7.655300 0.045361
24.835100 7.655000 0.035022
24.843199 7.654600 0.035022
24.852499 7.654200 0.035022
24.860699 7.653900 0.035022
24.868799 7.653500 0.045361
24.876900 7.653100 0.045361
24.886200 7.652800 0.035022
24.894299 7.652400 0.035022
24.903599 7.652000 0.045361
24.911798 7.651700 0.045361
24.919899 7.651300 0.050530
24.929199 7.650900 0.045361
24.937399 7.650600 0.040192
24.945499 7.650200 0.040192
24.954800 7.649800 0.050530
24.962999 7.649500 0.045361
24.699400 7.648400 0.040112
24.712099 7.648000 0.029774
24.716799 7.647600 0.034943
24.724899 7.647300 0.034943
24.733000 7.646900 0.040112
24.741100 7.646600 0.040112
24.750399 7.646200 0.040112
24.758499 7.645800 0.029774
24.766600 7.645500 0.029774
24.775900 7.645100 0.029774
24.783998 7.644800 0.024604
24.793299 7.644400 0.029774
24.801399 7.644000 0.040112
24.809500 7.643700 0.040112
24.818800 7.643300 0.040112
24.826899 7.642900 0.034943
24.834999 7.642600 0.019435
24.844299 7.642200 0.055620
24.852400 7.641800 0.024604
24.860600 7.641500 0.045281
24.869900 7.641100 0.040112
24.878000 7.640700 0.040112
24.886099 7.640400 0.040112
24.895399 7.640000 0.050451
24.903599 7.639600 0.040112
24.911699 7.639300 0.034943
24.919800 7.638900 0.014266
24.927999 7.638600 0.029774
24.937300 7.638200 0.024604
24.945400 7.637800 0.034943
24.953600 7.637500 0.034943
24.962900 7.637100 0.034943
24.699200 7.636000 0.040031
24.712000 7.635600 0.029693
24.716599 7.635300 0.024524
24.724800 7.634900 0.024524
24.733999 7.634500 0.040031
24.740999 7.634200 0.045201
24.749100 7.633800 0.040031
24.758400 7.633500 0.040031
24.767700 7.633100 0.040031
24.775799 7.632700 0.045201
24.783899 7.632400 0.045201
24.792000 7.632000 0.034862
24.801300 7.631600 0.045201
24.809399 7.631300 0.029693
24.818699 7.630900 0.040031
24.826799 7.630500 0.029693
24.834900 7.630200 0.045201
24.844200 7.629800 0.040031
24.852400 7.629500 0.040031
24.860498 7.629100 0.040031
24.868599 7.628700 0.045201
24.877899 7.628400 0.055539
24.886000 7.628000 0.040031
24.895399 7.627600 0.029693
24.903500 7.627300 0.019354
24.911600 7.626900 0.024524
24.919800 7.626500 0.045201
24.929100 7.626200 0.040031
24.937199 7.625800 0.040031
24.945400 7.625400 0.019354
24.953499 7.625100 0.034862
24.962900 7.624700 0.040031
24.697899 7.623600 0.050330
24.711899 7.623200 0.029653
24.716499 7.622900 0.050330
24.724600 7.622500 0.039991
24.733900 7.622200 0.034822
24.741999 7.621800 0.045160
24.750099 7.621400 0.045160
24.758299 7.621100 0.039991
24.766399 7.620700 0.050330
24.775700 7.620300 0.039991
24.783800 7.620000 0.029653
24.791899 7.619600 0.029653
24.801199 7.619300 0.034822
24.809299 7.618900 0.034822
24.817400 7.618500 0.029653
24.826700 7.618200 0.029653
24.834799 7.617800 0.039991
24.844099 7.617400 0.039991
24.852299 7.617100 0.039991
24.860399 7.616700 0.045160
24.869699 7.616300 0.039991
24.877800 7.616000 0.039991
24.886000 7.615600 0.055499
24.894100 7.615200 0.045160
24.903399 7.614900 0.034822
24.911600 7.614500 0.039991
24.919699 7.614200 0.039991
24.927900 7.613800 0.045160
24.937199 7.613400 0.045160
24.945299 7.613100 0.039991
24.954599 7.612700 0.029653
24.962799 7.612300 0.039991
24.698900 7.611200 0.039952
24.711699 7.610800 0.034783
24.716400 7.610500 0.029613
24.724499 7.610100 0.045121
24.733799 7.609800 0.034783
24.741899 7.609400 0.029613
24.750000 7.609000 0.039952
24.758099 7.608700 0.029613
24.767399 7.608300 0.039952
24.775599 7.608000 0.050290
24.783699 7.607600 0.050290
24.792999 7.607200 0.034783
24.801100 7.606900 0.039952
24.809200 7.606500 0.029613
24.818499 7.606100 0.034783
24.826599 7.605800 0.039952
24.834700 7.605400 0.034783
24.842899 7.605100 0.050290
24.852200 7.604700 0.024444
24.860300 7.604300 0.024444
24.868399 7.604000 0.039952
24.877800 7.603600 0.024444
24.885899 7.603200 0.050290
24.893999 7.602900 0.039952
24.903399 7.602500 0.039952
24.911499 7.602100 0.045121
24.919600 7.601800 0.045121
24.928999 7.601400 0.045121
24.937099 7.601000 0.024444
24.945299 7.600700 0.034783
24.954599 7.600300 0.045121
24.962700 7.599900 0.034783
24.697599 7.598800 0.029573
24.711599 7.598500 0.039912
24.716200 7.598100 0.034742
24.724298 7.597800 0.039912
24.732500 7.597400 0.039912
24.741699 7.597000 0.019235
24.749899 7.596700 0.029573
24.757999 7.596300 0.039912
24.766100 7.595900 0.039912
24.774300 7.595600 0.045081
24.783600 7.595200 0.034742
24.792799 7.594900 0.029573
24.800999 7.594500 0.055419
24.809099 7.594100 0.039912
24.817200 7.593800 0.055419
24.826500 7.593400 0.024404
24.834599 7.593000 0.034742
24.843899 7.592700 0.045081
24.852098 7.592300 0.039912
24.860199 7.591900 0.050250
24.868399 7.591600 0.045081
24.877699 7.591200 0.050250
24.885799 7.590800 0.045081
24.893999 7.590500 0.034742
24.902100 7.590100 0.034742
24.911400 7.589700 0.029573
24.919600 7.589400 0.050250
24.927700 7.589000 0.019235
24.937000 7.588700 0.014065
24.945200 7.588300 0.045081
24.954500 7.587900 0.029573
24.962700 7.587600 0.024404
24.698599 7.586500 0.024363
24.711399 7.586100 0.055379
24.716099 7.585700 0.034702
24.724199 7.585400 0.050210
24.733500 7.585000 0.034702
24.740400 7.584700 0.055379
24.749699 7.584300 0.045040
24.757900 7.583900 0.039871
24.767199 7.583600 0.039871
24.775299 7.583200 0.034702
24.783400 7.582800 0.029533
24.791500 7.582500 0.029533
24.800800 7.582100 0.034702
24.809000 7.581700 0.039871
24.818300 7.581400 0.029533
24.826399 7.581000 0.034702
24.834499 7.580700 0.034702
24.843800 7.580300 0.039871
